Configuração,Seed,Fold,Acc,Prec,Rec,F1,ROC_AUC,Arquivo
Vgg_AUG_CV_DatasetSegYolo_09_01,0,0,0.8163,0.7143,0.8333,0.7692,0.8943,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,1,0,0.9,0.8947,0.85,0.8718,0.9517,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,2,0,0.8627,0.7826,0.9,0.8372,0.9113,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,3,0,0.8776,0.8824,0.7895,0.8333,0.9509,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,4,0,0.8163,0.75,0.7895,0.7692,0.8772,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,5,0,0.8333,0.8,0.7059,0.75,0.8824,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,6,0,0.8627,1.0,0.65,0.7879,0.929,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,7,0,0.7755,0.9,0.4737,0.6207,0.8895,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,8,0,0.8571,0.8571,0.7059,0.7742,0.9669,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,9,0,0.8235,0.7391,0.85,0.7907,0.9484,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,10,0,0.94,0.9444,0.8947,0.9189,0.9576,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,11,0,0.86,0.8421,0.8,0.8205,0.9383,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,12,0,0.7347,0.6316,0.6667,0.6486,0.8405,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,13,0,0.75,0.6667,0.5882,0.625,0.888,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,14,0,0.74,0.619,0.7222,0.6667,0.8594,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,15,0,0.74,0.6667,0.5556,0.6061,0.8576,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,16,0,0.7959,0.7222,0.7222,0.7222,0.8315,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,17,0,0.8654,0.8421,0.8,0.8205,0.9312,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,18,0,0.8125,0.7059,0.75,0.7273,0.9258,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,19,0,0.9412,0.9412,0.8889,0.9143,0.9781,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,20,0,0.8431,0.9286,0.65,0.7647,0.8242,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,21,0,0.8,0.7647,0.6842,0.7222,0.9032,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,22,0,0.8367,0.7143,0.8824,0.7895,0.9026,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,23,0,0.8235,0.7273,0.8421,0.7805,0.9062,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,24,0,0.8,0.6667,0.8235,0.7368,0.8681,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,25,0,0.8571,0.7727,0.8947,0.8293,0.9474,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,26,0,0.8333,0.8,0.7059,0.75,0.9108,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,27,0,0.7959,0.7059,0.7059,0.7059,0.9026,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,28,0,0.898,0.9286,0.7647,0.8387,0.8824,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,29,0,0.8302,0.8095,0.7727,0.7907,0.9106,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,0,0,0.7959,0.7,0.7778,0.7368,0.8781,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,1,0,0.84,0.8571,0.6667,0.75,0.9549,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,2,0,0.78,0.7368,0.7,0.7179,0.895,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,3,0,0.7551,0.6875,0.6111,0.6471,0.8351,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,4,0,0.8846,0.8696,0.8696,0.8696,0.967,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,5,0,0.8824,0.85,0.85,0.85,0.9597,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,6,0,0.84,0.8235,0.7368,0.7778,0.8574,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,7,0,0.8333,0.75,0.75,0.75,0.916,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,8,0,0.78,0.75,0.7143,0.7317,0.8916,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,9,0,0.7917,0.6818,0.8333,0.75,0.9111,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,10,0,0.7755,0.64,0.8889,0.7442,0.8835,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,11,0,0.8269,0.8333,0.7143,0.7692,0.9263,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,12,0,0.9,0.8571,0.9,0.878,0.965,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,13,0,0.84,0.8,0.8,0.8,0.9183,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,14,0,0.8431,0.7647,0.7647,0.7647,0.9031,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,15,0,0.7917,0.7692,0.5882,0.6667,0.8311,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,16,0,0.898,0.8421,0.8889,0.8649,0.9552,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,17,0,0.8039,0.7143,0.7895,0.75,0.8651,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,18,0,0.8776,0.8824,0.7895,0.8333,0.9316,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,19,0,0.8298,0.6364,1.0,0.7778,0.9307,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,20,0,0.78,0.7222,0.6842,0.7027,0.8998,./eval_results/DatasetSemMarcador_per_run.csv
